Information here is subject to the policy as set forth by Gale in the terms and conditions found here: https://support.gale.com/terms/

Search Terms, "Directory Title ("Encyclopedia of Associations: Regional, State and Local Organizations") And Edition (28)  LIMITS: Database ..."

Document Number,Entity Name,Main Address - Street1,Main Address - Street2,Main Address - Street3,Main Address - Street4,Main Address - Street5,Composed City,City,State Code,Zip Code,Country,Telephone Area Code,Telephone Number,Toll Free Number,Fax Number,Organization Email Address,Organization Website URL,SIC Code,SIC Description,SIC Code - Industries Served,SIC Description - Industries Served,Year Founded,Number of Employees,Budget,Number of Members,Library Maintained,Awards Bestowed,Award Type,Publications Issued,Publication Type,Publication Frequency,Advertising Accepted,Conventions/Meetings Held,Conventions/Meeting Type,Exhibits,Subject Descriptor,Section Number,Section Heading,Officer 1,Officer 2,Officer 3,Officer 4,Officer 5
"MCKDBX282753813","100 Black Men of America - Metropolitan Houston","PO Box 604","","","","","Bellaire, TX 77402 USA","Bellaire","TX","77402","United States","","","877-429-8614","","info@100blackmenhou.org","http://www.100blackmenhou.org","8699","Membership Organizations Nec","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","African-American","4","South Central and Great Plains States","Dr. Frazier Wilson, III","","","",""
"TGSSZB623902898","10th Mountain Division Association - Armadillo Chapter","c/o Jeannie Geuras, President","6102 Greentree Ln.","","","","Austin, TX 78745 USA","Austin","TX","78745","United States","","","","","","http://www.10thmtndivassoc.org/chapters.html","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Veterans","4; 12","South Central and Great Plains States; Veterans', Hereditary, and Patriotic Organizations","Jeannie Geuras","","","",""
"QYYXXT457839394","AAUW - McAllen Texas Branch","PO Box 720184","","","","","McAllen, TX 78504 USA","McAllen","TX","78504","United States","956","(956)212-6619","","","","http://aauw-tx.aauw.net/locator/mcallen","8641","Civic and Social Associations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Women","4; 05","South Central and Great Plains States; Educational Organizations","Irene Protillo","","","",""
"WGHGVA733963558","AAUW - Montgomery County Texas Branch","PO Box 130302","","","","","Spring, TX 77393-0302 USA","Spring","TX","77393-0302","United States","","","","","","http://aauw-tx.aauw.net/locator/montgomerycounty","8641","Civic and Social Associations","","","1990","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Women","4; 05","South Central and Great Plains States; Educational Organizations","Stephanie Mitchell","","","",""
"RWWTYQ065001595","Abilene Chamber of Commerce","174 Cypress St., Ste. 200","","","","","Abilene, TX 79601-5850 USA","Abilene","TX","79601-5850","United States","325","(325)677-7241","","(325)677-0622","info@abilenechamber.com","http://www.abilenechamber.com","8611","Business Associations","","","1908","7","","","None Reported","None Reported","","Yes","Newsletter","monthly","No","None Reported","","","Chambers of Commerce","4; 16","South Central and Great Plains States; Chambers of Commerce and Trade and Tourism Organizations","Jason Smith, President","","","",""
"LDFPQE123213169","Abilene Geological Society (AGS)","c/o Jeff Jones, President","PO Box 2530","","","","Albany, TX 76430 USA","Albany","TX","76430","United States","325","(325)762-3353","","","","http://www.abilenegeo.org","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Geology","4; 04","South Central and Great Plains States; Engineering, Technological, and Natural and Social Sciences Organizations","Jeff Jones","","","",""
"ZZSINY257656635","Abilene Music Teachers Association","c/o Noreen M. Carson, President","1205 Birch St.","","","","Sweetwater, TX 79556 USA","Sweetwater","TX","79556","United States","325","(325)235-3654","","","","http://www.abilenemusicteachers.com","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Music","4; 05","South Central and Great Plains States; Educational Organizations","Noreen M. Carson","","","",""
"WEQNSQ195076388","Abilene Psychological Association","c/o Jenna Sheldon","PO Box 28011","","","","Abilene, TX 79699 USA","Abilene","TX","79699","United States","325","(325)674-4826","","","cyf07a@acu.edu","http://www.texaspsyc.org/?LocalAreaSocieties","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Psychology","4; 08","South Central and Great Plains States; Health and Medical Organizations","Jenna Sheldon","","","",""
"EWOMWT693074726","Abilene Young Lawyers Association","c/o Jacob Blizzard","702-C Hickory","","","","Abilene, TX 79601 USA","Abilene","TX","79601","United States","325","(325)676-1000","","","","http://www.tyla.org/index.cfm/affiliates","8621","Professional Organizations","","","","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Attorneys","4; 03","South Central and Great Plains States; Legal, Governmental, Public Administration, and Military Organizations","Jacob Blizzard","","","",""
"AQWDVG735355340","Abundant Life Network","PO Box 180263","","","","","Austin, TX 78718 USA","Austin","TX","78718","United States","512","(512)791-1820; (512)557-2222","","","info@thespiritoftruthministries.org","http://thespiritoftruthministries.org","8699","Membership Organizations Nec","","","2001","","","","None Reported","None Reported","","None Reported","","","","None Reported","","","Social Welfare","4; 07","South Central and Great Plains States; Social Welfare Organizations","Ms. Savitri Kumar-Saldana","","","",""
